Week Number,Job,Assembly,Assembly Description,Qty,Schedule_Group,Department Class,Department,OP_SEQ_NUM,OPERATION_DESCRIPTION,RESOURCE_OPERATIONS_SEQ,RESOURCE_CODE,DESCRIPTION,Usage,Qty Per Hour,Run Time Min,Run Time Hours,Operation Start Date,Operation Completion Date,Paint_Code,NVL(REQ.REQLIST;'NODEMANDFOUND'),SCHED_FLAG
14,3656704,602256,65MM DIA ROUND DUSTING BRUSH WITH 38MM ADAPTOR (MANUFACTURING) (NVB-56B),22,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.002778,360,3.67,0.06,04/04/2022 08:00,04/04/2022 08:15,,PREP-C1=22,Yes
14,3656705,903494,KIT SC903494(MOPMATIC COLOUR CODE DISC SET),187,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.008333,120,93.5,1.56,04/04/2022 08:00,04/04/2022 09:34,,BOARD CELL=173,Yes
14,3656706,903668,KIT SC903668 (WITH EXTRA SCREWS),224,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.009709,103,130.49,2.17,04/04/2022 08:00,04/04/2022 10:11,,LINEFEED=224,Yes
14,3656707,311321,KIT SC321,4,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,4,0.07,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=4,Yes
14,3656708,904194,KIT SC904194,30,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,30,0.5,04/04/2022 08:00,04/04/2022 08:31,,LINEFEED=30,Yes
14,3656709,904638,KIT SC904638(WITH EXTRA SCREWS),260,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,260,4.33,04/04/2022 08:00,04/04/2022 12:36,,SERVOLINE=260,Yes
14,3656710,906167,KIT SC906167,12,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,12,0.2,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=12,Yes
14,3656711,906444,KIT SC906444 (BUFFER WHEELS/CASTORS),176,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.010417,96,110,1.83,04/04/2022 08:00,04/04/2022 09:51,,LINEFEED=176,Yes
14,3656712,907610,KIT SC907610(WITH EXTRA SCREWS),36,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.003333,300,7.2,0.12,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=36,Yes
14,3656713,908204,KIT SC908204 (4 X 4 INCH CASTORS),462,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.012821,78,355.38,5.92,04/04/2022 08:00,04/04/2022 14:41,,LINEFEED=462,Yes
14,3656714,908253,KIT SC908253 (3 INCH CASTORS/BUFFERS),260,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,260,4.33,04/04/2022 08:00,04/04/2022 12:36,,SERVOLINE=260,Yes
14,3656715,908255,KIT SC908255 (4 INCH CASTORS/BUFFERS),44,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.008621,116,22.76,0.38,04/04/2022 08:00,04/04/2022 08:23,,LINEFEED=44,Yes
14,3656716,909099,KIT SC909099(NO EXTRA SCREWS)STAINLESS,80,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,80,1.33,04/04/2022 08:00,04/04/2022 09:21,,LINEFEED=80,Yes
14,3656717,909103,KIT SC909103(NO EXTRA SCREWS)STAINLESS,16,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,16,0.27,04/04/2022 08:00,04/04/2022 08:17,,LINEFEED=16,Yes
14,3656718,909455,KIT SC909455(STAINLESS STEEL),10,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,110,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,10,0.17,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=10,Yes
14,3656719,910427,KIT SC910427(STAINLESS),17,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,110,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,17,0.28,04/04/2022 08:00,04/04/2022 08:18,,LINEFEED=14,Yes
14,3656720,910880,SERVO MATIC BAG SPLITTER KIT,1,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.011111,90,0.67,0.01,04/04/2022 08:00,04/04/2022 08:15,,No Demand found,Yes
14,3656721,910757,ECOMATIC BUFFER SET,492,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.008333,120,246,4.1,04/04/2022 08:00,04/04/2022 12:21,,LINEFEED=492,Yes
14,3656722,910839,ECO-Matic 4 X TOOL CLIP SET,331,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.005556,180,110.33,1.84,04/04/2022 08:00,04/04/2022 09:51,,Sales order=330,Yes
14,3656723,911442,KIT SC911442 (4 X 4 INCH CASTORS/2 X LOCK KEYS/ALLEN KEY),30,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,110,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.01,100,18,0.3,04/04/2022 08:00,04/04/2022 08:18,,LINEFEED=30,Yes
14,3656724,911445,KIT SC911445,1,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,1,0.02,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=1,Yes
14,3656725,912547,HOOK X 10,10,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,10,0.17,04/04/2022 08:00,04/04/2022 08:15,,No Demand found,Yes
14,3656726,912641,KIT SC912641(WITH EXTRA SCREW),44,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.005556,180,14.67,0.24,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=44,Yes
14,3656727,913341,DESOUTTER SWIVEL CONNECTOR KIT,96,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,110,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,96,1.6,04/04/2022 08:00,04/04/2022 09:37,,PREP-A1=96,Yes
14,3656728,913188,KIT SC913188(WITH EXTRA SCREWS),12,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.013333,75,9.6,0.16,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=12,Yes
14,3656729,913192,KIT SC913192(WITH EXTRA SCREWS),154,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.00992,100.81,91.66,1.53,04/04/2022 08:00,04/04/2022 09:32,,LINEFEED=54  SERVOLINE=100,Yes
14,3656730,913247,KIT SC913247 BUFFERS/CASTORS/BLACK HOLE PLUG SET/MOUNTING BLOCK,166,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,166,2.77,04/04/2022 08:00,04/04/2022 11:02,,LINEFEED=66  SERVOLINE=100,Yes
14,3656731,913369,KIT SC 913369,24,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.005556,180,8,0.13,04/04/2022 08:00,04/04/2022 08:15,,SERVOLINE=24,Yes
13,3656732,902314,HVR160 CABLE REEL BASE MOULDING ASSEMBLY,8100,CM WK 13-2022,INJC MOULD,COVEREEL 1,115,MACHINE 0.02 NB 160T,10,MACH 0.02,NB 160T + ATM ES ROBOT,0.010556,94.73,5130.37,85.51,29/03/2022 09:54,01/04/2022 23:25,,SETTERS=8100,Yes
13,3656733,906543,UPRIGHT FRAME WELD ASSEMBLY MILD STEEL PAINTED SILVER(NKT REAR),100,METAL_WELD WK 14-2022,METAL SHOP,WELD DEPT,110,MANUAL WELD,30,MANWELD01,MIG WELDING BAYS,0.055343,18.069,332.06,5.53,31/03/2022 08:00,31/03/2022 09:18,222067,SERVOLINE=20,Yes
13,3656733,906543,UPRIGHT FRAME WELD ASSEMBLY MILD STEEL PAINTED SILVER(NKT REAR),100,METAL_WELD WK 14-2022,PAINT SHOP,PAINT CELL,120,PAINT BOOTH SILVER,30,LRGBOOTH01,SILVER PAINT ONLY,0.004167,240,25,0.42,31/03/2022 09:18,31/03/2022 10:01,222067,SERVOLINE=20,Yes
13,3656734,913211,HANDLE BASE & COVER 1-SWITCH 2 POLE 10A (SOCKET) V16/V30/V53/V81/V83,21,CSS B13 WK 14-2022,CSS B13,HANDLECELL,110,HANDLE BASE ASSEMBLY CELL,30,HAND CELL,HANDLE BASE ASSEMBLY CELL,0.008547,117,10.77,0.18,31/03/2022 08:00,31/03/2022 08:17,,No Demand found,Yes
13,3656735,904960,FLOOR TOOL LIFTING PIVOT BRACKET WELD ASSY PAINTED SILVER,14,METAL_WELD WK 14-2022,METAL SHOP,WELD DEPT,110,MANUAL WELD,30,MANWELD01,MIG WELDING BAYS,0.038139,26.22,32.04,0.53,31/03/2022 08:00,31/03/2022 08:18,222067,TT6055PREP=12,Yes
13,3656735,904960,FLOOR TOOL LIFTING PIVOT BRACKET WELD ASSY PAINTED SILVER,14,METAL_WELD WK 14-2022,PAINT SHOP,PAINT CELL,120,PAINT BOOTH SILVER,30,LRGBOOTH01,SILVER PAINT ONLY,0.000926,1080,0.78,0.01,31/03/2022 08:18,31/03/2022 08:36,222067,TT6055PREP=12,Yes
13,3656736,913205,HANDLE BASE & COVER 1-SWITCH 2 POLE 10A (SOCKET) BP V30/V53/V83,10,CSS B13 WK 14-2022,CSS B13,HANDLECELL,110,HANDLE BASE ASSEMBLY CELL,30,HAND CELL,HANDLE BASE ASSEMBLY CELL,0.008333,120,5,0.08,31/03/2022 08:00,31/03/2022 08:11,,PREP-C1=35,Yes
13,3656737,907235,UPHOLSTERY NOZZLE ASSEMBLY,216,CSS B13 WK 14-2022,CSS B13,ACCE4 CELL,110,CSS ACCESSORIES 4 CELL,20,ACCE4 CELL,CSS ACCESSORIES 4 CELL,0.022222,45,288,4.8,31/03/2022 08:00,31/03/2022 13:38,,GVE STAGE1=54,Yes
